Author Name,Work Title,Zotero Item Key,Reason,Timestamp
Andrea Rosenberg,Run for It: Stories of Slaves Who Fought for Their Freedom,35ISMKG5,NO_VIAF,2025-11-15 17:05:51
Aaron Coleman,The great zoo: a bilingual edition,NKBG4F48,NO_VIAF,2025-11-15 17:05:59
Mark Carlyon,The sad end of Policarpo Quaresma,G2WAI6RQ,NO_VIAF,2025-11-15 17:06:07
Nohora Arrieta Fernández,Semantics of the World: selected poems,PXS6LB2D,NO_VIAF,2025-11-15 17:06:18
Ingrid Watson Miller,The Devil's Nose,IHF5MYGT,NO_VIAF,2025-11-15 17:06:27
Margaret Lindsay Morris,The Devil's Nose,IHF5MYGT,NO_VIAF,2025-11-15 17:06:37
Ingrid Watson Miller,The Devil's Nose,IHF5MYGT,NO_VIAF,2025-11-15 17:13:57
Margaret Lindsay Morris,The Devil's Nose,IHF5MYGT,NO_VIAF,2025-11-15 17:14:02
Nohora Arrieta Fernández,Semantics of the World: selected poems,PXS6LB2D,NO_VIAF,2025-11-15 17:14:09
Mark Carlyon,The sad end of Policarpo Quaresma,G2WAI6RQ,NO_VIAF,2025-11-15 17:14:20
Aaron Coleman,The great zoo: a bilingual edition,NKBG4F48,NO_VIAF,2025-11-15 17:14:28
Andrea Rosenberg,Run for It: Stories of Slaves Who Fought for Their Freedom,35ISMKG5,NO_VIAF,2025-11-15 17:14:36
